1/8888	★★★农夫果实
1/500	阿尔萨斯之泪	
1/600	格罗姆之血	

1/1	五转天使之羽
1/1	六转天使之羽
1/3	七转天使之羽
1/3	八转天使之羽
1/5	九转天使之羽
1/10	十转天使之羽
1/30	11转天使之羽
1/50	12转天使之羽
1/80	13转天使之羽
1/100	14转天使之羽
1/200	15转天使之羽
1/300	16转天使之羽
1/400	17转天使之羽
1/500	18转天使之羽
1/600	19转天使之羽
1/800	20转天使之羽
