1/60000	★★★★★领主之刃[世界]
1/2500	铁纹戒指	
1/2500	铁纹腰带	
1/2500	铁纹靴子	
		
1/2500	龙皮头盔	
1/2500	龙皮手镯	
1/2500	龙皮项链	
1/2500	龙皮戒指	
1/2500	龙皮腰带	
1/2500	龙皮靴子	
		
1/5000	英勇头盔	
1/5000	英勇手镯	
1/5000	英勇项链	
1/5000	英勇戒指	
1/5000	英勇腰带	
1/5000	英勇靴子	
		
1/5000	救赎头盔	
1/5000	救赎手镯	
1/5000	救赎项链	
1/5000	救赎戒指	
1/5000	救赎腰带	
1/5000	救赎靴子	
		
1/5000	兽王头盔	
1/5000	兽王手镯	
1/5000	兽王项链	
1/5000	兽王戒指	
1/5000	兽王腰带	
1/5000	兽王靴子	
		
1/1000	骨镰头盔	
1/1000	骨镰手镯	
1/1000	骨镰项链	
1/1000	骨镰戒指	
1/1000	骨镰腰带	
1/1000	骨镰靴子	
		
1/10000	预言者头盔	
1/10000	预言者手镯	
1/10000	预言者项链	
1/10000	预言者戒指	
1/10000	预言者腰带	
1/10000	预言者靴子	
		
1/10000	霜火头盔	
1/10000	霜火手镯	
1/10000	霜火项链	
1/10000	霜火戒指	
1/10000	霜火腰带	
1/10000	霜火靴子	
		
1/15000	瘟疫头盔	
1/15000	瘟疫手镯	
1/15000	瘟疫项链	
1/15000	瘟疫戒指	
1/15000	瘟疫腰带	
1/15000	瘟疫靴子	
		
1/15000	鬼纹头盔	
1/15000	鬼纹手镯	
1/15000	鬼纹项链	
1/15000	鬼纹戒指	
1/15000	鬼纹腰带	
1/15000	鬼纹靴子	
		
1/15000	死雾头盔	
1/15000	死雾手镯	
1/15000	死雾项链	
1/15000	死雾戒指	
1/15000	死雾腰带	
1/15000	死雾靴子	
		
1/20000	厄运头盔	
1/20000	厄运手镯	
1/20000	厄运项链	
1/20000	厄运戒指	
1/20000	厄运腰带	
1/20000	厄运靴子	
		
1/20000	复仇头盔	
1/20000	复仇手镯	
1/20000	复仇项链	
1/20000	复仇戒指	
1/20000	复仇腰带	
1/20000	复仇靴子	
		
1/20000	梦游者头盔	
1/20000	梦游者手镯	
1/20000	梦游者项链	
1/20000	梦游者戒指	
1/20000	梦游者腰带	
1/20000	梦游者靴子	
		
1/25000	狂野头盔	
1/25000	狂野手镯	
1/25000	狂野项链	
1/25000	狂野戒指	
1/25000	狂野腰带	
1/25000	狂野靴子	
		
1/25000	起源头盔	
1/25000	起源手镯	
1/25000	起源项链	
1/25000	起源戒指	
1/25000	起源腰带	
1/25000	起源靴子	
		
1/25000	无畏头盔	
1/25000	无畏手镯	
1/25000	无畏项链	
1/25000	无畏戒指	
1/25000	无畏腰带	
1/25000	无畏靴子	
		
1/30000	少校的庇护头盔	
1/30000	少校的庇护手镯	
1/30000	少校的庇护项链	
1/30000	少校的庇护戒指	
1/30000	少校的庇护腰带	
1/30000	少校的庇护靴子	
		
1/30000	少校的圣装头盔	
1/30000	少校的圣装手镯	
1/30000	少校的圣装项链	
1/30000	少校的圣装戒指	
1/30000	少校的圣装腰带	
1/30000	少校的圣装靴子	
		
1/30000	勇士的风暴头盔	
1/30000	勇士的风暴手镯	
1/30000	勇士的风暴项链	
1/30000	勇士的风暴戒指	
1/30000	勇士的风暴腰带	
1/30000	勇士的风暴靴子	
		
1/40000	大督军头盔	
1/40000	大督军手镯	
1/40000	大督军项链	
1/40000	大督军戒指	
1/40000	大督军腰带	
1/40000	大督军靴子	
		
1/40000	大祭司头盔	
1/40000	大祭司手镯	
1/40000	大祭司项链	
1/40000	大祭司戒指	
1/40000	大祭司腰带	
1/40000	大祭司靴子	
		
1/40000	大元帅头盔	
1/40000	大元帅手镯	
1/40000	大元帅项链	
1/40000	大元帅戒指	
1/40000	大元帅腰带	
1/40000	大元帅靴子	
		
		
		
		
		
		
		
		
1/500	罪恶	
1/500	勇气胸铠	
1/500	灵能之笼	
1/500	誓言	
1/500	奴隶镣铐	
1/500	克洛洛指环	
1/500	巨龙追猎者	
1/500	布莱纳的旅途	
		
1/2000	霜冰	
1/2000	魔牙外衣	
1/2000	灵主之环	
1/2000	聚能环	
1/2000	萝拉之夜	
1/2000	违诺指环	
1/2000	末日守卫	
1/2000	昂扬姿态	
		
		
1/4000	噬亡	
1/4000	救赎钢甲	
1/4000	贤者之星	
1/4000	心灵启示	
1/4000	织电者手镯	
1/4000	残影	
1/4000	夜幕杀手	
1/4000	末日足履	
		
1/6000	暴风之刃	
1/6000	圣光天启	
1/6000	勇气冠冕	
1/6000	抚慰之光	
1/6000	辉煌暴君	
1/6000	命运守护	
1/6000	无尽噩梦腰带	
1/6000	地狱行者	
		
1/12000	光明·殇	
1/12000	黑鳞之肤	
1/12000	蕾蔻的意志	
1/12000	殉难者的意志	
1/12000	融血护腕	
1/12000	悔恨指环	
1/12000	血色残阳断骨腰带	
1/12000	不朽之王的步履	
		
		
1/20000	审判法杖	
1/20000	正义之垒	
1/20000	贤者之巅	
1/20000	丛林法则	
1/20000	沸燃之烬	
1/20000	超凡血晶玺戒	
1/20000	维克尼拉斯的再生腰带	
1/20000	黑暗审判者	
		
1/25000	残月の刃	
1/30000	月冕权杖	
1/40000	风矢之斧	
1/50000	贪噬本源	
		
1/25000	怒涛之心	
1/30000	圣光之心	
1/40000	大地之灵	
1/50000	不朽之王	
		
1/25000	不死鸟之冠	
1/30000	灼天之面	
1/40000	守护者的凝视	
1/50000	大地之眼	
		
1/25000	恶魔之心	
1/30000	暗影坠饰	
1/40000	消逝的时光	
1/50000	神之泪滴	
		
1/25000	天谴之石	
1/30000	血吼的亵渎之影	
1/40000	跳动的山脉之心	
1/50000	戈隆之眼	
		
1/25000	天堂风暴	
1/30000	炎怒之灵	
1/40000	梵克雅宝	
1/50000	克虏伯	
		
1/25000	野性之潮	
1/30000	暗影之怒腰带	
1/40000	寂静之誓	
1/50000	光之流影	
		
1/25000	蒙嘟噜咕的舞步	
1/30000	无限猛袭	
1/40000	古拉德火焰护胫	
1/50000	守护者的意志之靴	
